Date sent to company,Company response to consumer,Timely response?
2015-11-24,Closed with monetary relief,Yes
2016-05-20,Closed with explanation,Yes
2015-06-17,Closed with explanation,Yes
2016-12-27,Closed with explanation,Yes
2015-07-14,Closed with explanation,Yes
2016-02-02,Closed with explanation,No
2015-12-04,Closed with explanation,Yes
2017-02-22,Closed with non-monetary relief,Yes
2015-10-06,Closed with non-monetary relief,Yes
2017-03-23,Closed with explanation,Yes
2016-10-20,Closed with explanation,Yes
2015-07-13,Closed with explanation,Yes
2016-04-29,Closed with explanation,Yes
2015-05-10,Closed with explanation,Yes
2016-02-05,Closed with explanation,Yes
2016-07-24,Closed with explanation,Yes
2016-04-30,Closed with explanation,Yes
2016-04-19,Closed with explanation,Yes
2015-11-25,Closed with explanation,Yes
2017-01-04,Closed with explanation,Yes
2015-07-30,Closed with explanation,Yes
2017-01-25,Closed with explanation,Yes
2016-10-13,Closed with explanation,Yes
2015-09-30,Closed with explanation,Yes
2016-11-30,Closed with explanation,Yes
2016-12-13,Closed with explanation,Yes
2017-01-26,Closed with explanation,Yes
2017-03-31,Closed with explanation,Yes
2016-05-26,Closed with explanation,Yes
2017-03-20,Closed with explanation,Yes
2016-07-24,Closed with explanation,Yes
2017-04-19,Closed with explanation,Yes
2016-08-29,Closed with explanation,Yes
2016-06-27,Closed with explanation,Yes
2016-11-22,Closed with explanation,Yes
2015-07-21,Closed,Yes
2017-04-13,Closed with explanation,Yes
2017-01-04,Closed with explanation,Yes
2016-05-11,Closed with explanation,Yes
2015-12-15,Closed with explanation,Yes
2016-11-23,Closed with explanation,Yes
2016-01-07,Closed with explanation,Yes
2016-12-04,Closed with non-monetary relief,Yes
2016-02-03,Closed with explanation,Yes
2015-08-18,Closed with explanation,Yes
2016-02-08,Closed,Yes
2015-08-20,Closed with explanation,Yes
2015-04-23,Closed with explanation,Yes
2016-09-12,Closed with explanation,Yes
2017-04-09,Closed with explanation,Yes
2016-03-11,Closed with explanation,Yes
2016-02-01,Closed with monetary relief,Yes
2016-05-06,Closed with explanation,Yes
2015-06-17,Closed with explanation,Yes
2016-07-19,Closed with explanation,Yes
2016-03-16,Closed with non-monetary relief,Yes
2015-05-28,Closed with explanation,Yes
2016-11-10,Closed with explanation,Yes
2016-08-30,Closed with explanation,Yes
2016-11-13,Closed with explanation,Yes
2015-06-12,Closed with non-monetary relief,Yes
2016-04-08,Closed with non-monetary relief,Yes
2015-12-09,Closed with non-monetary relief,Yes
2015-11-24,Closed with explanation,Yes
2015-06-12,Closed with explanation,Yes
2016-01-21,Closed with explanation,Yes
2015-03-24,Closed with explanation,Yes
2016-02-10,Untimely response,No
2015-07-15,Closed with non-monetary relief,Yes
2016-03-18,Closed with monetary relief,Yes
2016-03-30,Closed with explanation,Yes
2016-09-01,Closed with non-monetary relief,Yes
2016-01-28,Closed with non-monetary relief,Yes
2017-03-10,Closed with explanation,Yes
2016-10-19,Closed with explanation,Yes
2016-10-06,Closed with explanation,Yes
2016-11-10,Closed with explanation,Yes
2015-05-19,Closed with non-monetary relief,Yes
2015-12-17,Closed with explanation,Yes
2016-07-26,Closed with explanation,Yes
2016-09-03,Closed with explanation,Yes
2016-12-02,Closed with explanation,Yes
2015-06-04,Closed with non-monetary relief,Yes
2016-12-02,Closed with explanation,Yes
2016-08-31,Closed with explanation,Yes
2016-11-02,Closed with explanation,Yes
2016-12-07,Closed with explanation,Yes
2015-04-17,Closed with explanation,Yes
2015-05-29,Closed with monetary relief,Yes
2017-03-21,Closed with non-monetary relief,Yes
2017-02-10,Closed with explanation,Yes
2017-02-27,Closed with explanation,Yes
2015-05-13,Closed with explanation,Yes
2017-01-31,Closed,Yes
2017-02-17,Closed with non-monetary relief,Yes
2015-10-21,Closed with explanation,Yes
2016-03-13,Closed with explanation,Yes
2015-05-28,Closed with explanation,Yes
2015-05-13,Closed with explanation,Yes
2017-03-14,Closed with explanation,Yes
2015-11-20,Closed with explanation,Yes
2016-09-25,Closed with explanation,Yes
2016-08-03,Closed with explanation,Yes
2016-02-18,Closed with explanation,Yes
2016-04-13,Closed with explanation,Yes
2017-01-06,Closed with monetary relief,Yes
2016-03-16,Closed with monetary relief,Yes
2016-08-15,Closed with explanation,Yes
2017-04-03,Closed with non-monetary relief,Yes
2017-03-30,Closed with explanation,Yes
2016-09-20,Closed with explanation,Yes
2016-02-04,Closed with explanation,Yes
2016-03-15,Closed with explanation,Yes
2016-01-04,Closed with monetary relief,Yes
2015-06-08,Closed with explanation,Yes
2016-03-26,Closed with explanation,Yes
2015-08-20,Closed with explanation,Yes
2015-07-01,Closed with explanation,Yes
2015-12-17,Closed with non-monetary relief,Yes
2016-07-25,Closed with explanation,Yes
2016-11-26,Closed with explanation,Yes
2015-04-27,Closed with explanation,Yes
2015-12-29,Closed with non-monetary relief,Yes
2015-06-01,Closed with explanation,Yes
2017-02-02,Closed with explanation,Yes
2016-08-15,Closed with explanation,Yes
2017-01-27,Closed with non-monetary relief,Yes
2016-09-28,Closed with explanation,Yes
2015-06-14,Closed with explanation,Yes
2016-03-29,Closed with explanation,Yes
2015-07-09,Closed with explanation,Yes
2016-07-28,Closed with explanation,Yes
2017-02-24,Closed with explanation,Yes
2017-02-22,Closed with explanation,Yes
2017-01-12,Closed with explanation,Yes
2015-06-08,Closed with explanation,Yes
2016-02-16,Closed with explanation,Yes
2016-01-30,Closed with non-monetary relief,Yes
2016-11-07,Closed with explanation,Yes
2015-10-19,Closed with explanation,Yes
2016-04-20,Closed with non-monetary relief,Yes
2017-01-22,Closed with explanation,Yes
2016-11-22,Closed with explanation,Yes
2017-03-17,Closed with explanation,Yes
2016-06-02,Closed with explanation,Yes
2016-07-05,Closed with explanation,No
2015-11-01,Closed,Yes
2016-06-04,Closed with non-monetary relief,Yes
2016-06-23,Closed with explanation,Yes
2016-07-15,Closed with explanation,Yes
2016-03-07,Closed with explanation,Yes
2017-02-08,Closed with explanation,Yes
2015-09-22,Closed with non-monetary relief,Yes
2015-07-21,Closed with explanation,Yes
2016-07-16,Closed with explanation,Yes
2016-08-08,Closed with explanation,Yes
2015-09-11,Closed with explanation,Yes
2015-10-11,Closed with monetary relief,Yes
2016-11-14,Closed with explanation,Yes
2016-04-01,Closed with explanation,Yes
2015-10-17,Closed with explanation,Yes
2015-07-15,Closed with explanation,Yes
2015-09-27,Closed with explanation,Yes
2016-03-24,Closed with explanation,Yes
2016-09-13,Closed with explanation,Yes
2017-02-13,Closed with explanation,Yes
2017-04-04,Closed with explanation,Yes
2015-08-20,Closed with explanation,Yes
2016-03-31,Closed with explanation,No
2016-07-18,Closed with explanation,Yes
2015-11-02,Closed with explanation,Yes
2016-01-13,Closed with explanation,Yes
2015-10-12,Closed with explanation,Yes
2015-12-18,Closed with explanation,Yes
2016-02-12,Closed with explanation,Yes
2015-11-06,Closed with explanation,Yes
2015-11-20,Closed with explanation,Yes
2016-02-26,Closed with non-monetary relief,Yes
2015-09-29,Closed with non-monetary relief,Yes
2015-12-20,Closed with explanation,Yes
2016-09-19,Closed with explanation,Yes
2015-07-07,Closed with non-monetary relief,Yes
2016-05-19,Closed with explanation,Yes
2016-09-16,Closed with explanation,Yes
2016-05-14,Closed with explanation,Yes
2016-01-21,Closed with explanation,Yes
2017-01-20,Closed with explanation,Yes
2016-08-06,Closed with explanation,Yes
2016-06-07,Closed with monetary relief,Yes
2015-10-15,Closed with explanation,Yes
2016-01-26,Closed with explanation,Yes
2017-01-24,Closed with explanation,Yes
2015-06-03,Closed with monetary relief,Yes
2015-12-21,Closed with monetary relief,Yes
2016-09-22,Closed with monetary relief,Yes
2015-08-06,Closed with explanation,Yes
2016-01-22,Closed with explanation,Yes
2015-07-24,Closed with explanation,Yes
2015-04-07,Closed with explanation,Yes
2016-02-29,Closed with explanation,Yes
2016-08-24,Closed with explanation,Yes
2015-10-25,Closed with monetary relief,Yes
2015-05-12,Closed with explanation,Yes
2017-03-22,Closed with monetary relief,Yes
2016-03-16,Closed with non-monetary relief,Yes
2015-09-21,Closed with explanation,Yes
2017-03-28,Closed with explanation,Yes
2015-10-30,Closed with explanation,Yes
2016-04-27,Closed with explanation,Yes
2017-01-25,Closed with explanation,Yes
2015-03-29,Closed with explanation,Yes
2016-07-20,Closed with explanation,Yes
2015-07-08,Closed with explanation,No
2016-11-12,Closed with explanation,Yes
2015-08-17,Closed with explanation,Yes
2016-07-14,Closed with non-monetary relief,Yes
2015-03-25,Closed with explanation,Yes
2016-10-18,Closed with explanation,No
2015-07-10,Closed with explanation,Yes
2016-05-23,Closed with explanation,Yes
2017-03-15,Closed with non-monetary relief,Yes
2016-01-22,Closed with explanation,Yes
2015-04-04,Closed with non-monetary relief,Yes
2016-01-08,Closed with non-monetary relief,Yes
2017-01-24,Closed with explanation,Yes
